X,Player,avg,gp.gs,ab,r,h,X2b,X3b,hr,rbi,tb,slg.,bb,hbp,so,gdp,ob.,sf,sh,sb.att,era,w.l,app.gs,cg,sho,sv,ip,er,b.avg,wp,bk,Year,Gametype
105,"VREEDE de Bodhi, PIO",0.208,34-20,72,4,15,1,1,0,7,18,0.25,5,0,22,0,0.26,0,4,2-3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Seizoen 2019","Reguliere competitie"
106,"SCHMOOK Johnny, STO",0.208,13-13,48,5,10,0,1,0,2,12,0.25,3,0,11,0,0.255,0,0,0-1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Seizoen 2019","Reguliere competitie"
107,"PEELS Nick, TWI",0.203,29-18,64,7,13,3,0,0,5,16,0.25,5,1,27,1,0.271,0,1,6-6,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Seizoen 2019","Reguliere competitie"
108,"LANGENKAMP Chris, STO",0.2,3-2,5,0,1,1,0,0,1,2,0.4,0,0,2,0,0.2,0,0,0-0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Seizoen 2019","Reguliere competitie"
109,"RUBEN Berend, HCA",0.193,30-25,83,12,16,3,0,0,2,19,0.229,11,2,22,1,0.302,0,0,5-6,0,0-0,1-0,0,0/0,0,0.2,0,0.333,0,0,"Seizoen 2019","Reguliere competitie"
110,"BURGER Jordy, QUI",0.189,20-16,53,7,10,0,0,0,3,10,0.189,11,0,13,1,0.318,2,1,2-3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Seizoen 2019","Reguliere competitie"
111,"HEILIGERS Daniel, DSS",0.188,15-2,16,3,3,0,0,0,0,3,0.188,2,0,5,1,0.278,0,0,0-0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Seizoen 2019","Reguliere competitie"
112,"VERKERK Ruar, TWI",0.188,4-4,16,4,3,1,0,0,1,4,0.25,1,1,4,0,0.278,0,0,0-0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Seizoen 2019","Reguliere competitie"
113,"PLOEG vd Sam, QUI",0.187,21-19,75,8,14,4,0,0,4,18,0.24,6,1,25,1,0.256,0,1,0-1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Seizoen 2019","Reguliere competitie"
114,"PENSEEL Jorrit, PIO",0.186,33-26,86,7,16,2,0,0,5,18,0.209,9,0,28,7,0.263,0,0,0-0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Seizoen 2019","Reguliere competitie"
115,"KEMP Tyriq, NEP",0.182,9-7,22,2,4,0,0,0,1,4,0.182,2,0,4,0,0.25,0,1,0-1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Seizoen 2019","Reguliere competitie"
116,"DRAIJER Max, PIO",0.182,3-3,11,0,2,0,0,0,0,2,0.182,0,0,2,0,0.182,0,0,0-0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Seizoen 2019","Reguliere competitie"
117,"SILBERIE Diamond, DSS",0.176,35-26,102,14,18,4,0,1,7,25,0.245,6,0,36,1,0.22,1,4,6-7,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Seizoen 2019","Reguliere competitie"
118,"MARTINA Jarreau, TWI",0.176,9-8,34,3,6,1,0,0,5,7,0.206,2,0,6,0,0.211,2,0,1-2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Seizoen 2019","Reguliere competitie"
119,"MOHAMED Stephon, STO",0.171,22-13,41,1,7,1,0,0,3,8,0.195,9,1,20,0,0.333,0,0,0-0,38.57,0-0,3-0,0,0/0,0,2.1,10,0.5,5,0,"Seizoen 2019","Reguliere competitie"
120,"BOTMAN Milo, STO",0.169,25-21,65,4,11,0,0,0,2,11,0.169,5,3,26,0,0.26,0,0,2-2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Seizoen 2019","Reguliere competitie"
121,"KONING de Joey, PIO",0.16,30-22,75,13,12,0,1,0,4,14,0.187,12,2,31,0,0.289,1,0,2-2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Seizoen 2019","Reguliere competitie"
122,"HEYDE vd Dakota, QUI",0.157,23-13,51,4,8,1,1,0,6,11,0.216,1,1,18,1,0.189,0,0,0-0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Seizoen 2019","Reguliere competitie"
123,"MULLER Greg, NEP",0.149,31-26,87,11,13,7,0,1,13,23,0.264,14,2,11,4,0.279,1,1,3-5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Seizoen 2019","Reguliere competitie"
124,"SCHMOOK Joey, STO",0.143,13-12,42,1,6,0,0,0,4,6,0.143,1,1,13,0,0.182,0,0,0-0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Seizoen 2019","Reguliere competitie"
125,"GOOL v Jerzy, TWI",0.141,35-30,85,9,12,2,0,0,8,14,0.165,10,1,40,6,0.24,0,2,0-0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Seizoen 2019","Reguliere competitie"
126,"WINKEL Roy, STO",0.136,33-26,81,5,11,0,1,0,0,13,0.16,8,2,32,1,0.231,0,3,0-0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Seizoen 2019","Reguliere competitie"
127,"MARTIS Renaigel, HCA",0.113,27-20,71,6,8,2,0,0,5,10,0.141,6,1,20,4,0.19,1,4,0-1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Seizoen 2019","Reguliere competitie"
129,"WINDT de Quinlan, STO",0.1,10-10,30,3,3,0,0,0,1,3,0.1,3,0,13,0,0.176,1,2,0-2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Seizoen 2019","Reguliere competitie"
130,"TOTH Krisztian, STO",0.095,7-6,21,1,2,0,0,0,3,2,0.095,1,0,12,0,0.13,1,0,0-0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Seizoen 2019","Reguliere competitie"
131,"PHELIPA Soekarno, STO",0.077,4-4,13,1,1,0,0,0,0,1,0.077,0,1,6,0,0.143,0,0,0-0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Seizoen 2019","Reguliere competitie"
132,"WINDSTER Kevin, QUI",0.075,21-13,40,4,3,1,0,0,2,4,0.1,12,0,16,2,0.283,1,4,1-1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Seizoen 2019","Reguliere competitie"
133,"HOOGKAMER Thom, PIO",0.063,11-5,16,0,1,0,0,0,0,1,0.063,1,0,6,0,0.118,0,0,1-1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Seizoen 2019","Reguliere competitie"
134,"LAURENS Roland, AMS",0.059,5-5,17,1,1,0,0,0,1,1,0.059,1,0,3,0,0.111,0,0,0-0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Seizoen 2019","Reguliere competitie"
