X,Player,avg,gp.gs,ab,r,h,X2b,X3b,hr,rbi,tb,slg.,bb,hbp,so,gdp,ob.,sf,sh,sb.att,era,w.l,app.gs,cg,sho,sv,ip,er,b.avg,wp,bk,Year,Gametype
1255,"ROSEBURG Jair, UVV",0,1-0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0-0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Seizoen 2016",Hoofdklasse
1256,"EE v Tim, AMS",0,1-0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0-0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Seizoen 2016",Hoofdklasse
1257,"SCHEL Robin, AMS",0,1-0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0-0,4.47,3-2,12-7,1,0/0,0,46.1,23,0.264,2,0,"Seizoen 2016",Hoofdklasse
1258,"KOSTER Dylan, HCA",0,1-0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0-0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Seizoen 2016",Hoofdklasse
1259,"PFAU Chris, PIO",0,1-0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0-0,2.66,6-6,14-14,2,2/1,0,88,26,0.175,6,1,"Seizoen 2016",Hoofdklasse
1260,"DUNLOP Tijani, NEP",0,1-0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0-0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Seizoen 2016",Hoofdklasse
1261,"BERKHOUT Joran, PIO",0,1-0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0-0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Seizoen 2016",Hoofdklasse
1262,"KAREL Sedley, PIO",0,1-0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0-0,3.63,0-0,19-0,0,0/2,11,17.1,7,0.219,1,0,"Seizoen 2016",Hoofdklasse
1263,"RIETEL Maickel, PIO",0,1-0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0-0,2.47,5-1,30-0,0,0/2,1,47.1,13,0.197,6,0,"Seizoen 2016",Hoofdklasse
1264,"VEEN v Kevin, UVV",0,2-0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0-0,6.97,1-10,19-5,0,0/0,0,50.1,39,0.332,2,0,"Seizoen 2016",Hoofdklasse
1265,"NIEKERK Tim, HCA",0,1-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0-0,4.2,0-0,17-0,0,0/1,1,15,7,0.22,4,0,"Seizoen 2016",Hoofdklasse
1266,"DAANTJI Shaldimar, NEP",0.423,9-8,26,12,11,1,1,0,2,14,0.538,6,0,2,0,0.531,0,0,1-1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Seizoen 2016",Play-Offs
1267,"LAMPE Gilmer, AMS",0.4,9-9,30,8,12,2,0,0,7,14,0.467,9,1,6,1,0.55,0,1,2-3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Seizoen 2016",Play-Offs
1268,"MOESQUIT Kevin, KIN",0.379,9-9,29,8,11,3,0,0,5,14,0.483,10,0,1,1,0.525,1,0,0-2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Seizoen 2016",Play-Offs
1269,"URBANUS Nick, AMS",0.378,9-9,37,8,14,3,0,0,4,17,0.459,4,0,6,2,0.439,0,1,1-1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Seizoen 2016",Play-Offs
1270,"RICARDO Dashenko, NEP",0.367,9-8,30,5,11,4,0,3,13,24,0.8,6,0,7,0,0.472,0,0,0-0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Seizoen 2016",Play-Offs
1271,"CROES Zerzinho, PIO",0.359,9-9,39,6,14,3,0,0,5,17,0.436,2,0,3,1,0.39,0,1,1-1,0,0-0,2-0,0,0/0,0,1.2,0,0,0,0,"Seizoen 2016",Play-Offs
1272,"BERKENBOSCH Kenny, AMS",0.355,9-9,31,5,11,3,1,1,12,19,0.613,3,1,3,1,0.395,3,0,0-0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Seizoen 2016",Play-Offs
1273,"KOEDIJK Jochem, KIN",0.348,9-9,23,4,8,1,0,0,1,9,0.391,4,0,4,0,0.444,0,4,0-0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Seizoen 2016",Play-Offs
1274,"GARIA Christopher, PIO",0.344,8-8,32,10,11,2,2,1,6,20,0.625,4,1,5,0,0.432,0,1,7-8,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Seizoen 2016",Play-Offs
1275,"BOEKHOUDT Gianison, NEP",0.32,8-8,25,5,8,3,0,0,4,11,0.44,6,0,6,0,0.452,0,0,0-0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Seizoen 2016",Play-Offs
1276,"HERNANDEZJulio, KIN",0.314,9-9,35,5,11,2,0,0,3,13,0.371,3,2,6,1,0.4,0,1,0-0,6,0-0,3-0,0,0/0,0,3,2,0.308,0,0,"Seizoen 2016",Play-Offs
1277,"ODUBER Randolph, NEP",0.314,9-9,35,9,11,3,0,0,7,14,0.4,2,1,8,0,0.359,1,1,1-1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Seizoen 2016",Play-Offs
1278,"WEERT v Niels, KIN",0.31,9-9,29,2,9,1,0,0,4,10,0.345,4,0,6,0,0.394,0,2,0-0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Seizoen 2016",Play-Offs
1279,"KEMP Dwayne, NEP",0.303,9-9,33,9,10,2,0,1,9,15,0.455,5,0,0,0,0.375,2,2,1-2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Seizoen 2016",Play-Offs
1280,"LEONORA Dudley, KIN",0.286,9-9,35,3,10,3,0,0,11,13,0.371,4,0,4,0,0.359,0,0,1-2,0,0-0,1-0,0,0/0,0,0.1,0,0,0,0,"Seizoen 2016",Play-Offs
1281,"DIAZ Christian, NEP",0.286,7-7,28,1,8,2,0,0,1,10,0.357,2,1,4,1,0.355,0,0,0-1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Seizoen 2016",Play-Offs
1282,"WEERT de Dexter, KIN",0.269,8-6,26,0,7,0,0,0,3,7,0.269,1,0,5,2,0.296,0,0,0-0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Seizoen 2016",Play-Offs
1283,"RAAP Brian, PIO",0.267,9-8,30,5,8,5,0,0,5,13,0.433,3,1,8,1,0.353,0,0,1-1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Seizoen 2016",Play-Offs
1284,"MARLIN Shurman, PIO",0.259,9-7,27,3,7,3,0,1,10,13,0.481,3,0,4,0,0.333,0,0,0-0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Seizoen 2016",Play-Offs
1285,"KEIJZER Jasper, KIN",0.257,9-9,35,5,9,0,0,0,0,9,0.257,1,2,7,0,0.316,0,0,0-0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Seizoen 2016",Play-Offs
1286,"GARIO Mervin, PIO",0.256,9-9,39,6,10,1,0,0,5,11,0.282,2,0,8,1,0.286,1,1,2-3,0,0-0,1-0,0,0/0,0,0.2,0,0.333,0,0,"Seizoen 2016",Play-Offs
1287,"LEGITO Raily, NEP",0.241,8-8,29,4,7,1,0,1,10,11,0.379,4,0,2,0,0.306,3,1,2-2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Seizoen 2016",Play-Offs
1288,"FERNANDES Daniel, NEP",0.24,8-8,25,9,6,1,1,0,2,9,0.36,5,2,8,1,0.406,0,0,1-1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Seizoen 2016",Play-Offs
1289,"DILLE Benjamin, NEP",0.222,9-9,27,4,6,0,0,0,2,6,0.222,6,1,0,4,0.382,0,4,0-0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Seizoen 2016",Play-Offs
1290,"DRAIJER Remco, AMS",0.219,9-9,32,7,7,1,0,0,4,8,0.25,7,1,3,0,0.375,0,1,1-2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Seizoen 2016",Play-Offs
1291,"DIRKSEN Kevin, PIO",0.2,9-9,25,7,5,2,0,0,3,7,0.28,9,1,7,0,0.429,0,0,1-1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Seizoen 2016",Play-Offs
1292,"CROES Linoy, AMS",0.188,8-8,32,2,6,0,0,0,2,6,0.188,1,1,9,1,0.235,0,0,1-1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Seizoen 2016",Play-Offs
1293,"CUBA de Quentin, PIO",0.182,9-9,33,7,6,0,0,2,6,12,0.364,6,0,6,2,0.3,1,0,0-0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Seizoen 2016",Play-Offs
1294,"DUURSMA Michael, AMS",0.161,9-9,31,4,5,1,0,0,4,6,0.194,7,1,4,0,0.333,0,4,0-1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Seizoen 2016",Play-Offs
1295,"ROMBLEY Danny, AMS",0.147,9-9,34,2,5,1,0,0,5,6,0.176,3,1,4,0,0.237,0,0,1-1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Seizoen 2016",Play-Offs
1296,"PAAP Sander, KIN",0.125,7-6,24,0,3,0,0,0,1,3,0.125,1,0,6,5,0.16,0,0,0-0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Seizoen 2016",Play-Offs
1297,"GERARD Rashid, AMS",0.1,8-7,20,2,2,0,0,0,1,2,0.1,6,0,1,1,0.308,0,1,0-0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Seizoen 2016",Play-Offs
1299,"MEULENS Shadrach, NEP",0.5,2-1,4,0,2,0,0,0,1,2,0.5,0,0,2,0,0.5,0,0,0-0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Seizoen 2016",Play-Offs
1300,"PIETER Devano, KIN",0.5,2-0,4,0,2,0,0,0,0,2,0.5,0,0,2,0,0.5,0,0,0-0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Seizoen 2016",Play-Offs
1301,"DRAIJER Victor, KIN",0.4,2-1,5,1,2,1,0,0,0,3,0.6,1,0,3,0,0.5,0,0,0-0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Seizoen 2016",Play-Offs
1302,"SMIT Mark, PIO",0.267,6-5,15,3,4,0,0,0,1,4,0.267,2,0,5,0,0.353,0,0,0-1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Seizoen 2016",Play-Offs
1303,"WIJST vd Oliver, KIN",0.267,4-3,15,1,4,1,0,0,1,5,0.333,1,0,5,0,0.313,0,0,0-0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Seizoen 2016",Play-Offs
1304,"BOS Thomas, KIN",0.25,6-6,16,3,4,1,0,0,2,5,0.313,5,0,6,0,0.429,0,1,0-1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Seizoen 2016",Play-Offs
1305,"HENSON Stephen, PIO",0.25,6-5,12,3,3,1,0,0,3,4,0.333,3,0,3,0,0.4,0,3,2-4,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Seizoen 2016",Play-Offs
1306,"BAKKER Glenn, PIO",0.25,5-2,8,2,2,0,0,0,0,2,0.25,0,0,4,0,0.25,0,0,0-0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Seizoen 2016",Play-Offs
1307,"KEMP Urving, NEP",0.25,3-1,4,2,1,0,0,0,4,1,0.25,2,0,1,0,0.5,0,0,0-0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Seizoen 2016",Play-Offs
1308,"NIJHOF Brennan, PIO",0.238,7-5,21,3,5,2,0,1,5,10,0.476,0,1,5,0,0.273,0,0,1-1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Seizoen 2016",Play-Offs
1309,"VERNOOIJ Rien, NEP",0.235,6-5,17,3,4,1,0,1,2,8,0.471,4,0,2,0,0.381,0,1,0-0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Seizoen 2016",Play-Offs
1310,"DRAIJER Max, PIO",0.231,4-4,13,1,3,2,0,0,2,5,0.385,1,0,2,0,0.286,0,1,0-0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Seizoen 2016",Play-Offs
1311,"WHARWOOD Steven, NEP",0.2,1-0,5,0,1,0,0,0,2,1,0.2,0,0,0,0,0.2,0,0,0-0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Seizoen 2016",Play-Offs
1312,"ENGELHARDT Bryan, KIN",0.167,2-2,6,0,1,0,0,0,0,1,0.167,0,0,2,1,0.167,0,0,0-0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Seizoen 2016",Play-Offs
1313,"CLARIJS Max, AMS",0.125,7-6,16,5,2,0,0,0,3,2,0.125,2,1,2,0,0.263,0,3,0-0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Seizoen 2016",Play-Offs
1314,"AUSSEMS Jesse, AMS",0.118,7-5,17,2,2,0,0,0,0,2,0.118,3,0,6,0,0.25,0,0,0-0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Seizoen 2016",Play-Offs
1315,"BERKHOUT Chiel, KIN",0.091,5-3,11,1,1,0,0,0,0,1,0.091,2,0,8,0,0.231,0,0,0-0,99,0-0,1-0,0,0/0,0,0.1,5,0.5,0,0,"Seizoen 2016",Play-Offs
1316,"NOOIJ Koen, AMS",0,4-1,4,3,0,0,0,0,0,0,0,1,0,1,0,0.2,0,0,0-0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Seizoen 2016",Play-Offs
1317,"WEYMOUTH Austin, PIO",0,1-1,2,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0-0,0,0-0,1-0,0,0/0,1,0.1,0,0,0,0,"Seizoen 2016",Play-Offs
1318,"NUIJTEN Duco, PIO",0,4-0,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0-0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Seizoen 2016",Play-Offs
1319,"RONNENBERGH Scott, KIN",0,1-0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0-0,27,0-1,1-1,0,0/0,0,2,6,0.571,0,1,"Seizoen 2016",Play-Offs
1320,"VELTKAMP Nick, KIN",0,1-0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0-0,9.19,0-2,3-2,0,0/0,0,15.2,16,0.344,2,1,"Seizoen 2016",Play-Offs
1321,"FLANEGIN Shen, PIO",0,1-0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0-0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Seizoen 2016",Play-Offs
1322,"BOK Patrick, AMS",0,3-0,1,1,0,0,0,0,0,0,0,1,0,0,0,0.5,0,0,0-0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Seizoen 2016",Play-Offs
1323,"VERKERK Ruar, NEP",0,1-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0-0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Seizoen 2016",Play-Offs
1324,"PROFAR Shavently, PIO",0,1-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0-0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Seizoen 2016",Play-Offs
1325,"CROES Linoy, AMS",0.435,6-6,23,4,10,1,0,1,1,14,0.609,2,2,1,0,0.519,0,0,1-1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Seizoen 2016","Holland Series"
1326,"RICARDO Dashenko, NEP",0.417,6-6,24,2,10,3,0,0,1,13,0.542,1,0,5,0,0.423,1,0,0-0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Seizoen 2016","Holland Series"
1327,"ODUBER Randolph, NEP",0.393,6-6,28,5,11,1,0,0,4,12,0.429,1,1,2,1,0.433,0,0,0-0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Seizoen 2016","Holland Series"
1328,"DILLE Benjamin, NEP",0.364,6-6,22,2,8,0,0,0,2,8,0.364,0,2,2,0,0.4,1,2,0-0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Seizoen 2016","Holland Series"
1329,"BOEKHOUDT Gianison, NEP",0.348,6-6,23,3,8,1,0,1,4,12,0.522,3,0,4,0,0.423,0,0,0-0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Seizoen 2016","Holland Series"
1330,"KEMP Dwayne, NEP",0.348,6-6,23,3,8,1,0,1,5,12,0.522,2,0,0,1,0.385,1,1,3-3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Seizoen 2016","Holland Series"
1331,"DAANTJI Shaldimar, NEP",0.333,6-6,24,2,8,0,2,0,2,12,0.5,0,0,3,0,0.333,0,2,2-2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Seizoen 2016","Holland Series"
1332,"DIAZ Christian, NEP",0.31,6-6,29,4,9,2,0,0,3,11,0.379,2,1,2,1,0.375,0,0,1-1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Seizoen 2016","Holland Series"
1333,"BERKENBOSCH Kenny, AMS",0.28,6-6,25,3,7,1,0,0,1,8,0.32,2,0,3,1,0.333,0,0,1-1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Seizoen 2016","Holland Series"
1334,"URBANUS Nick, AMS",0.273,6-6,22,3,6,2,0,0,2,8,0.364,5,0,5,1,0.407,0,1,1-1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Seizoen 2016","Holland Series"
1335,"LAMPE Gilmer, AMS",0.273,6-6,22,3,6,0,0,1,4,9,0.409,5,0,3,1,0.407,0,1,1-1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Seizoen 2016","Holland Series"
1336,"DRAIJER Remco, AMS",0.222,6-6,27,3,6,1,0,0,0,7,0.259,4,0,6,0,0.323,0,1,2-2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Seizoen 2016","Holland Series"
1337,"ROMBLEY Danny, AMS",0.2,6-6,25,1,5,0,0,0,4,5,0.2,2,0,3,0,0.259,0,0,0-0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Seizoen 2016","Holland Series"
1338,"CLARIJS Max, AMS",0.167,6-6,18,2,3,0,0,0,1,3,0.167,2,0,5,0,0.25,0,0,0-1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Seizoen 2016","Holland Series"
1339,"GERARD Rashid, AMS",0.16,6-6,25,2,4,1,0,0,3,5,0.2,1,1,5,1,0.222,0,0,1-1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Seizoen 2016","Holland Series"
1340,"VERNOOIJ Rien, NEP",0.158,5-5,19,2,3,1,0,0,2,4,0.211,3,0,7,0,0.273,0,1,0-0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Seizoen 2016","Holland Series"
1341,"DUURSMA Michael, AMS",0.143,6-6,21,1,3,0,0,0,3,3,0.143,2,1,2,0,0.24,1,3,1-1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Seizoen 2016","Holland Series"
1342,"LEGITO Raily, NEP",0.111,6-6,27,4,3,1,0,0,2,4,0.148,1,0,3,0,0.143,0,0,2-2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Seizoen 2016","Holland Series"
1344,"BOK Patrick, AMS",1,2-0,1,0,1,0,0,0,0,1,1,1,0,0,0,1,0,0,0-0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Seizoen 2016","Holland Series"
1345,"FERNANDES Daniel, NEP",0.25,3-1,4,1,1,0,0,0,0,1,0.25,1,0,2,0,0.4,0,0,1-1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Seizoen 2016","Holland Series"
1346,"NOOIJ Koen, AMS",0,4-0,4,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0-0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Seizoen 2016","Holland Series"
1347,"BLOK de Tom, AMS",0,1-0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0-0,0.84,2-1,4-0,0,0/0,0,10.2,1,0.256,0,0,"Seizoen 2016","Holland Series"
1348,"MEER vd Stijn, NEP",0,1-0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0-0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Seizoen 2016","Holland Series"
1349,"KEMP Urving, NEP",0,2-0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0-0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Seizoen 2016","Holland Series"
1350,"WHARWOOD Steven, NEP",0,1-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0-0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Seizoen 2016","Holland Series"
1351,"AUSSEMS Jesse, AMS",0,1-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0-0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Seizoen 2016","Holland Series"
1352,"MARTIS Sergino, UVV",0.4,8-7,30,2,12,2,0,0,8,14,0.467,3,0,5,0,0.455,0,0,2-2,0,0-0,1-0,0,0/0,0,1,0,0,2,0,"Seizoen 2016","Runner Up"
1353,"PEELS Nick, TWI",0.385,8-7,26,5,10,1,0,0,3,11,0.423,1,1,5,0,0.429,0,0,2-3,0,0-0,1-0,0,0/0,0,1,0,0,0,0,"Seizoen 2016","Runner Up"
1354,"NIEVELD Kevin, HCA",0.385,9-7,26,5,10,3,0,0,6,13,0.5,8,0,3,2,0.529,0,0,2-2,0,0-0,1-0,0,0/0,0,1,0,0,0,0,"Seizoen 2016","Runner Up"
1355,"ENOS Tony, UVV",0.379,8-7,29,5,11,4,0,0,4,15,0.517,2,0,0,2,0.419,0,2,3-3,54,0-0,1-0,0,0/0,0,0.1,2,0.8,0,0,"Seizoen 2016","Runner Up"
1356,"MEER vd Bob, TWI",0.346,9-8,26,2,9,1,0,0,2,10,0.385,4,1,4,0,0.452,0,1,1-1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Seizoen 2016","Runner Up"
1357,"ROOI Vince, HCA",0.333,9-9,33,7,11,2,0,0,5,13,0.394,7,1,2,2,0.442,2,0,0-0,0,0-0,1-0,0,0/0,0,1,0,0,0,0,"Seizoen 2016","Runner Up"
1358,"KOOT Mitchell, DSS",0.333,8-7,27,1,9,1,0,0,3,10,0.37,3,0,2,1,0.4,0,1,3-6,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Seizoen 2016","Runner Up"
1359,"KUIPERS Rick, UVV",0.333,8-8,27,6,9,0,0,0,1,9,0.333,2,0,1,0,0.379,0,1,1-2,99,0-0,1-0,0,0/0,0,0,1,NULL,0,0,"Seizoen 2016","Runner Up"
1360,"DAUTZENBERG Mitchel, DSS",0.333,7-7,24,2,8,2,0,0,2,10,0.417,1,0,2,0,0.36,0,3,0-1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Seizoen 2016","Runner Up"
1361,"HENRIQUE Roelie, HCA",0.313,9-7,32,4,10,3,0,0,4,13,0.406,8,0,6,0,0.45,0,0,3-4,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Seizoen 2016","Runner Up"
1362,"KORTSTAM Raoell, HCA",0.308,8-7,26,3,8,4,0,0,2,12,0.462,1,1,6,0,0.357,0,0,1-2,0,0-0,1-0,0,0/0,0,1,0,0,1,0,"Seizoen 2016","Runner Up"
1363,"RIBBENS Dennis, UVV",0.304,8-7,23,6,7,3,0,0,1,10,0.435,1,0,6,0,0.333,0,2,1-1,18,0-0,1-0,0,0/0,0,1,2,0.5,0,0,"Seizoen 2016","Runner Up"
1364,"PERDUE Melvin, DSS",0.294,9-9,34,6,10,1,1,0,5,13,0.382,4,0,5,0,0.359,1,0,2-3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Seizoen 2016","Runner Up"
1365,"FROLIJK Rossini, HCA",0.286,7-7,28,3,8,0,0,1,6,11,0.393,3,0,2,1,0.355,0,0,0-0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Seizoen 2016","Runner Up"
1366,"WEIJGERTSE Kevin, HCA",0.282,9-9,39,4,11,1,0,0,2,12,0.308,1,0,4,2,0.3,0,0,1-1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Seizoen 2016","Runner Up"
1367,"VROLIJK Anthony, TWI",0.273,7-6,22,5,6,0,0,0,4,6,0.273,5,0,5,2,0.407,0,1,0-0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Seizoen 2016","Runner Up"
1368,"ARENDS Jeffrey, TWI",0.259,9-9,27,6,7,3,0,0,7,10,0.37,9,1,5,1,0.436,2,0,2-2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Seizoen 2016","Runner Up"
